"pb","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"2",183.25,98.3333333333333,69.7399527186761,1178.69342147065,253,112,141,189.5,179.166666666667,195.833333333333,170.5,2331,458,31,72.2116827700723,966,146,868,254
"1",278.333333333333,104.333333333333,72.960372960373,884.033456106245,355,212,143,271.333333333333,278.166666666667,290.833333333333,268.5,1465,365,0,108.206685971222,643,3,204,448
"1",235.791666666667,115.916666666667,71.5534979423868,1229.46003176068,317,155,162,241.833333333333,235.166666666667,249.5,222.333333333333,1585,239,20,67.1274009181139,695,86,397,201
"2",252.541666666667,92.0833333333333,72.50656167979,883.29402428259,317,190,127,256.333333333333,252,261.166666666667,243,2755,456,49,63.105460075016,1270,174,672,391
"1",270.916666666667,112.666666666667,73.6383442265795,925.112605758528,353,200,153,264.333333333333,269.5,284,261.5,1388,316,0,100.984467660724,610,8,212,385
"2",254.791666666667,76.75,73.0952380952381,811.132298740844,307,202,105,258,253.333333333333,262.833333333333,246.666666666667,4857,842,96,54.4586844533405,2112,377,1127,941
"2",249.416666666667,63.1666666666667,64.4557823129252,1115.15048583615,298,200,98,255.833333333333,243.5,257.833333333333,237.666666666667,2608,391,52,53.6819519393613,989,172,533,304
"2",243.833333333333,68.5,64.018691588785,1195.50927400938,297,190,107,248.833333333333,237.666666666667,252.5,231.5,2529,379,50,52.8389173523374,995,172,904,295
"1",271.166666666667,111,73.5099337748344,910.627489285506,352,201,151,264.666666666667,269.5,284.166666666667,261.833333333333,1334,318,1,102.809866095606,615,8,202,366
"1",258.833333333333,93,73.2283464566929,853.158125952503,328,201,127,261.5,263.5,269.5,249.666666666667,2217,374,34,65.9647351393776,994,135,297,283
"2",249.625,85.75,72.0588235294118,867.631310470692,310,191,119,252.5,249.166666666667,258.5,241,2778,450,33,61.8549220810824,1233,135,593,470
"2",250.583333333333,93,71.5384615384615,967.384790728763,316,186,130,254.333333333333,248.666666666667,259.666666666667,241,2913,478,48,62.8110529959429,1334,175,667,436
"1",266.583333333333,108,72.972972972973,897.682200633015,346,198,148,260.5,264.5,279.166666666667,257.5,1164,282,1,103.668831065073,542,9,157,325
"2",254.958333333333,79.0833333333333,72.5535168195719,818.384865377402,310,201,109,257.5,254.5,263.333333333333,246.666666666667,5142,802,86,50.9524924602191,2116,402,1169,1003
"1",266.458333333333,96.0833333333333,72.2431077694235,843.816635976985,338,205,133,265.5,273.333333333333,278.666666666667,258.5,1407,286,4,90.3241824738927,642,20,138,385
"2",253.541666666667,85.75,69.7154471544715,1009.37837155831,318,195,123,256.666666666667,253.333333333333,263.666666666667,242.833333333333,2135,312,49,50.0698668972192,855,175,541,407
"1",256.541666666667,101.083333333333,73.7834549878345,827.223816402938,328,191,137,257.666666666667,260.333333333333,266.666666666667,248.666666666667,1183,256,3,89.9357407468994,552,22,129,96
"1",227.875,107.416666666667,73.5730593607306,872.854512504805,302,156,146,224.5,222,238.5,218.833333333333,1045,269,1,108.037982067489,508,8,318,48
"2",255.333333333333,78.5,74.0566037735849,744.779812895711,309,203,106,258.166666666667,255.833333333333,263.833333333333,247.5,4175,686,86,51.7566723792106,1712,329,879,965
"2",252.708333333333,80.4166666666667,71.8005952380952,877.356135146263,309,197,112,256.166666666667,251.833333333333,261.166666666667,243.833333333333,2874,461,47,61.7418115741576,1315,169,684,451
"2",256.833333333333,76.5,71.4953271028037,842.97453141009,311,204,107,261.166666666667,257.333333333333,265.833333333333,248.166666666667,2710,426,55,61.5435438766431,1223,178,693,402
"1",262.166666666667,104.666666666667,73.1934731934732,870.823365174209,338,195,143,262.666666666667,259.166666666667,273.833333333333,254.166666666667,1075,248,3,97.553790049661,486,16,123,72
"2",248.916666666667,97.3333333333333,71.5686274509804,968.324075478615,318,182,136,252.5,248,259.166666666667,239.333333333333,2869,466,48,65.5007070690169,1340,162,708,400
"1",238.416666666667,92.3333333333333,73.2804232804233,849.286688220108,302,176,126,240.5,239.333333333333,248.333333333333,229.833333333333,1887,298,32,59.9654200365858,803,119,398,309
"2",231.666666666667,91.6666666666667,72.7513227513228,885.317953499125,295,169,126,235.333333333333,231.5,241.333333333333,222.666666666667,2140,342,35,58.7299097143737,917,122,425,381
"2",247.125,84.9166666666667,76.5015015015015,684.279647778331,303,192,111,249.666666666667,247.833333333333,255.333333333333,239.833333333333,2839,417,52,53.0031776791562,1140,191,607,592
"2",257.958333333333,82.25,73.4375,801.549162937658,316,204,112,260.333333333333,260.5,267.166666666667,249.333333333333,3061,512,42,60.815740887868,1400,181,306,528
"1",251.083333333333,102.666666666667,73.3333333333333,798.530847964883,326,186,140,250.666666666667,258.166666666667,262.333333333333,242.5,1860,399,6,87.1794871794872,767,28,160,592
"2",254.041666666667,75.25,70.3271028037383,883.036685466005,308,201,107,258.166666666667,252.833333333333,262.833333333333,245.166666666667,3002,466,50,60.2564748348868,1354,188,753,473
"2",248.833333333333,81.6666666666667,74.2424242424242,735.877130718948,304,194,110,251.333333333333,249,256.833333333333,241.333333333333,3603,603,61,55.2205249540877,1548,260,768,713
"1",264.25,94.3333333333333,72.5641025641026,814.499288464447,333,203,130,263.666666666667,270.333333333333,275.666666666667,256.5,1901,342,13,77.5987021444033,869,56,159,521
"1",266.916666666667,97.3333333333333,72.636815920398,847.143149149844,338,204,134,266.333333333333,273.666666666667,279,258.5,1645,331,9,81.4954095785386,742,36,162,457
"1",266.083333333333,97.5,71.6911764705882,859.395488736476,339,203,136,265.5,273.5,278.333333333333,257.5,1843,328,13,75.0832373324634,804,54,175,518
"1",265.25,111.666666666667,73.4649122807018,896.077309976402,346,194,152,259,263.333333333333,277.333333333333,255.5,1537,350,0,104.351175148081,691,10,219,426
"1",268.75,100.666666666667,71.9047619047619,914.156342307933,344,204,140,262.166666666667,276.5,282,259.666666666667,1241,287,2,100.10736791739,530,9,142,348
"2",256.25,83.6666666666667,77.4691358024692,670.989770955767,311,203,108,258.666666666667,258.666666666667,264.5,249.166666666667,4263,584,100,42.8908948942027,1534,419,892,1119
"2",247.333333333333,74.8333333333333,66.2241887905605,1086.13855916129,305,192,113,251.166666666667,243.5,256.333333333333,236.666666666667,2538,363,58,51.9279874970963,1015,194,622,310
"1",271.041666666667,120.25,74.6894409937888,912.404000761757,358,197,161,270,269,284.166666666667,262.166666666667,1818,437,1,101.90705573032,815,15,291,444
"2",246.583333333333,92.3333333333333,69.9494949494949,1076.99779128104,315,183,132,251.166666666667,247.5,258.166666666667,234.5,2149,337,38,54.8417891229865,912,161,530,370
"2",244.166666666667,66.6666666666667,64.1025641025641,1198.92628731888,296,192,104,250.833333333333,237.333333333333,253.166666666667,231.333333333333,2546,389,49,52.9872632390857,977,164,878,297
"1",273.333333333333,105.333333333333,71.6553287981859,947.084841484488,352,205,147,266.5,271.833333333333,286.666666666667,263.333333333333,1280,304,0,110.934142233705,596,3,160,377
"2",255.458333333333,74.25,71.3942307692308,862.200760562847,307,203,104,259.5,253.5,264,246.833333333333,4356,759,88,55.8053282978648,1925,327,1021,854
"2",247.458333333333,87.4166666666667,72.2451790633609,882.006579374897,309,188,121,250.333333333333,246.333333333333,256.5,238.5,2730,432,29,62.5361340896674,1187,118,558,466
"2",255.75,66.3333333333333,67.003367003367,981.302473987784,305,206,99,260.666666666667,252.833333333333,264.333333333333,246.166666666667,2900,430,60,52.6717858926838,1135,202,650,585
"2",257.333333333333,81,73.6363636363636,794.10708384075,313,203,110,259.5,258.833333333333,266,249,3519,569,48,58.8357853828027,1566,213,808,616
"1",278.791666666667,103.416666666667,72.8286384976526,845.968603901988,355,213,142,272.5,278.666666666667,290.833333333333,269.333333333333,1520,393,0,109.88989619526,716,7,162,474
"1",229,116.5,72.360248447205,1102.68267915529,309,148,161,232.333333333333,228.666666666667,241.666666666667,217.666666666667,1299,225,11,75.2458471664624,569,56,343,130
"1",263.208333333333,93.9166666666667,73.3723958333333,805.508967653183,331,203,128,263.333333333333,269.166666666667,274.333333333333,255.166666666667,2074,332,16,75.6099615549347,948,64,171,269
