"x","y","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
-84.08209137,14.39756154,246.041666666667,73.9166666666667,65.9970238095238,1115.48161904365,303,191,112,249.833333333333,241.5,255,234.666666666667,2459,349,53,51.3672536628565,966,187,593,305
-84.40512153,11.68522594,247.833333333333,84.5,75.4464285714286,721.530360141596,304,192,112,250.166666666667,247.5,256,240.5,2707,446,37,59.3982541507687,1174,166,570,503
-84.48262489,11.69396729,247.666666666667,85.5,75.6637168141593,715.520577600461,305,192,113,249.5,247.5,256,240.333333333333,2596,436,32,63.6435700209318,1167,133,527,451
-84.17465234,12.10385694,253.458333333333,80.25,73.6238532110092,808.606639207036,309,200,109,256,254.666666666667,262.333333333333,244.833333333333,4080,652,64,54.8510401185515,1752,287,919,764
-84.34620055,11.10174566,252.916666666667,86.3333333333333,76.4011799410029,679.85069662167,309,196,113,255.166666666667,254.5,261,245.833333333333,3225,470,69,48.045329458602,1235,251,687,740
-84.31426172,11.23444353,251.125,85.0833333333333,76.6516516516516,679.613860953409,307,196,111,253.5,252.666666666667,259.5,244,3150,463,63,49.8190271305167,1233,233,671,704
-85.04200938,11.00871246,264.125,97.25,73.1203007518797,783.675779434791,335,202,133,265.333333333333,270.833333333333,275,256.166666666667,1933,280,26,58.9256429520503,798,107,200,561
-84.94189706,13.72674674,254.666666666667,96,73.8461538461538,877.064663660796,324,194,130,257.333333333333,258,265.166666666667,245.166666666667,2241,366,34,65.5553972667215,1007,132,290,291
-84.67568494,13.6306669,259.375,89.75,74.1735537190083,832.609534153697,324,203,121,262.333333333333,263.166666666667,269.333333333333,250.333333333333,2438,392,43,63.2296793576533,1105,163,330,329
-84.18670967,14.05306983,252.708333333333,78.25,69.2477876106195,956.18996147431,311,198,113,256,251.5,261.666666666667,243,2736,425,67,55.0860699913331,1168,210,708,466
-84.27642952,14.04310528,253.208333333333,80.25,69.7826086956522,931.142585832865,313,198,115,256.166666666667,252.333333333333,262,243.666666666667,2756,432,66,55.4452276637043,1187,215,724,461
-84.12747371,14.01778948,254.916666666667,77.3333333333333,69.6696696696697,919.691977421426,312,201,111,258,253.833333333333,263.666666666667,245.833333333333,2756,431,68,55.2507470340927,1179,210,709,471
-84.36802198,13.95871724,256.333333333333,82.3333333333333,70.9770114942529,898.314920821032,317,201,116,258.833333333333,256.666666666667,265.333333333333,247.166666666667,2845,462,65,57.6113882270955,1260,220,764,452
-84.39667574,14.0000299,251.208333333333,82.25,71.5217391304348,867.194623571615,312,197,115,253.666666666667,252.166666666667,260.166666666667,242.166666666667,2896,461,67,55.2874299238286,1253,236,773,478
-84.31152227,13.98850444,255.708333333333,81.0833333333333,71.1257309941521,901.88145092088,315,201,114,258.5,255.5,264.5,246.333333333333,2794,449,65,56.9772237775035,1227,215,743,452
-84.11696855,13.91871172,255.041666666667,77.5833333333333,70.530303030303,887.401296261201,312,202,110,258.166666666667,255.166666666667,263.833333333333,245.833333333333,2801,448,69,56.304835439511,1219,214,729,467
-84.11766245,13.91569425,254.125,77.4166666666667,70.3787878787879,886.290789547293,311,201,110,257.5,254.166666666667,262.833333333333,245,2807,450,69,56.3699912717608,1223,215,731,467
-84.49129912,13.84103861,258.666666666667,85.1666666666667,72.7920227920228,823.333946754771,321,204,117,261.166666666667,261.333333333333,268.166666666667,249.833333333333,2854,472,61,57.5747001600371,1265,229,403,445
